a 8.069622
aa 0.001220
aac 0.000089
aai 0.000030
aak 0.000030
aam 0.000596
aan 0.000030
aar 0.000894
ab 0.198702
aba 0.008016
abb 0.002742
abd 0.000626
abe 0.002593
abh 0.000447
abi 0.017343
abj 0.000209
abl 0.120063
abm 0.000060
abn 0.000179
abo 0.088445
abr 0.007182
abs 0.014840
abu 0.012724
aby 0.004738
ac 0.319399
aca 0.001848
acc 0.049140
acd 0.000030
ace 0.135231
acf 0.000030
ach 0.060404
aci 0.014900
ack 0.073158
acl 0.004798
acm 0.000060
acn 0.000149
aco 0.001818
acq 0.018386
acr 0.010221
acs 0.000060
act 0.073397
acu 0.003069
acy 0.004679
ad 0.613435
ada 0.022231
adb 0.000149
adc 0.000119
add 0.037995
ade 0.102362
adf 0.005841
adg 0.000238
adh 0.001043
adi 0.030723
adj 0.001639
adk 0.000060
adl 0.004321
adm 0.014214
adn 0.004261
ado 0.013231
adp 0.000030
adq 0.000060
adr 0.005513
ads 0.011413
adt 0.001222
adu 0.002026
adv 0.021068
adw 0.000238
ady 0.094197
adz 0.000060
ae 0.004816
aea 0.000089
aec 0.000030
aed 0.000060
aee 0.000060
aeg 0.000030
ael 0.000715
aem 0.000030
aen 0.000209
aeo 0.000089
aer 0.002950
aes 0.000119
aet 0.000030
aeu 0.000030
aev 0.001162
af 0.098299
afa 0.004142
afe 0.008225
aff 0.032303
afg 0.000089
afi 0.000864
afl 0.000268
afn 0.000060
afo 0.002146
afr 0.011473
aft 0.076824
afy 0.000060
ag 0.167134
aga 0.065261
agd 0.000060
age 0.086091
agf 0.000030
agg 0.006705
agh 0.004112
agi 0.023780
agl 0.000775
agm 0.000894
agn 0.004410
ago 0.012844
agp 0.000089
agr 0.018774
ags 0.002086
agu 0.006228
agy 0.000030
ah 0.044922
aha 0.002175
ahb 0.000060
ahe 0.000715
ahi 0.000089
ahl 0.001490
ahm 0.000060
aho 0.000149
ahp 0.000030
ahr 0.001073
ahs 0.000149
aht 0.000030
ahy 0.000030
ai 0.488826
aia 0.002444
aic 0.000358
aid 0.241616
aie 0.000685
aif 0.000089
aig 0.007659
aii 0.000030
aik 0.000030
ail 0.043746
aim 0.012337
ain 0.247546
air 0.076585
ais 0.020294
ait 0.035551
aiv 0.000447
aiz 0.000030
aj 0.003596
aja 0.000834
aje 0.001967
aji 0.001490
ajm 0.000030
ajo 0.000745
ak 0.144841
aka 0.001937
ake 0.129927
akf 0.002712
akh 0.000715
aki 0.041153
akl 0.000149
akm 0.000149
akn 0.001907
ako 0.000089
akr 0.000060
aks 0.002175
aky 0.000149
al 0.749296
ala 0.027654
alb 0.001937
alc 0.003189
ald 0.002175
ale 0.076198
alf 0.019996
alg 0.000358
alh 0.000417
ali 0.052835
alk 0.047828
all 0.455488
alm 0.027595
aln 0.000298
alo 0.039693
alp 0.000507
alr 0.014244
als 0.027446
alt 0.030783
alu 0.008970
alv 0.001997
alw 0.028667
aly 0.001162
alz 0.000030
am 0.283457
ama 0.012307
amb 0.013559
amd 0.000387
ame 0.169650
ami 0.036058
aml 0.000477
amm 0.008016
amn 0.001252
amo 0.024972
amp 0.017314
amr 0.000030
ams 0.008314
amt 0.000298
amu 0.004679
amy 0.019727
amz 0.000030
an 2.336576
ana 0.014483
anb 0.000060
anc 0.130403
and 1.902025
ane 0.019489
anf 0.000298
ang 0.081562
anh 0.000477
ani 0.039872
anj 0.000089
ank 0.033614
anl 0.001877
ann 0.072324
ano 0.047948
anp 0.000089
anq 0.001699
ans 0.089757
ant 0.164882
anu 0.002563
anv 0.000328
anw 0.002503
anx 0.005632
any 0.145929
anz 0.000149
ao 0.003701
aoh 0.000089
aol 0.001192
aoo 0.000030
aor 0.003546
aos 0.000179
aot 0.000149
aow 0.000060
ap 0.193381
apa 0.015406
apb 0.000030
apd 0.000387
ape 0.029919
apf 0.000030
aph 0.003516
api 0.011294
apk 0.000626
apl 0.002503
apn 0.000030
apo 0.004887
app 0.120689
apr 0.002473
aps 0.024615
apt 0.046100
apu 0.000626
aq 0.000463
aqu 0.000656
ar 0.909111
ara 0.036654
arb 0.007986
arc 0.029591
ard 0.156776
are 0.217806
arf 0.003040
arg 0.033554
ari 0.057573
arj 0.000030
ark 0.053371
arl 0.035730
arm 0.053073
arn 0.031290
aro 0.015853
arp 0.012546
arq 0.002652
arr 0.085436
ars 0.058586
art 0.182612
aru 0.000745
arv 0.010549
arw 0.000775
ary 0.046339
as 1.040282
asa 0.023572
asb 0.000089
asc 0.006943
ase 0.067794
asg 0.000030
ash 0.036266
asi 0.031915
ask 0.056351
asl 0.005453
asm 0.002265
asn 0.002593
aso 0.019698
asp 0.010311
asq 0.001013
asr 0.001073
ass 0.109156
ast 0.166908
asu 0.019310
asw 0.000060
asy 0.008284
at 1.326453
ata 0.007659
atb 0.000149
atc 0.024823
